v4_0,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,registration-or-occurrence,RegistrationOrOccurrence
628,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,all-ages,All ages,registrations,Registrations
702,2026,2026,E12000006,East of England,week-6,Week 6,male,Male,all-ages,All ages,registrations,Registrations
4,2026,2026,E12000006,East of England,week-6,Week 6,male,Male,0-1,0-1,registrations,Registrations
0,2026,2026,E12000006,East of England,week-6,Week 6,male,Male,1-4,1-4,registrations,Registrations
1,2026,2026,E12000008,South East,week-6,Week 6,male,Male,1-4,1-4,registrations,Registrations
0,2026,2026,W92000004,Wales,week-6,Week 6,female,Female,5-9,5-9,registrations,Registrations
0,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,5-9,5-9,registrations,Registrations
0,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,male,Male,5-9,5-9,registrations,Registrations
0,2026,2026,E12000008,South East,week-6,Week 6,female,Female,10-14,10-14,registrations,Registrations
0,2026,2026,E12000001,North East,week-6,Week 6,male,Male,10-14,10-14,registrations,Registrations
0,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,10-14,10-14,registrations,Registrations
1,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,all,All,15-19,15-19,registrations,Registrations
0,2026,2026,E12000005,West Midlands,week-6,Week 6,all,All,15-19,15-19,registrations,Registrations
1,2026,2026,W92000004,Wales,week-6,Week 6,female,Female,15-19,15-19,registrations,Registrations
0,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,15-19,15-19,registrations,Registrations
1,2026,2026,E12000007,London,week-6,Week 6,male,Male,15-19,15-19,registrations,Registrations
0,2026,2026,E12000009,South West,week-6,Week 6,female,Female,20-24,20-24,registrations,Registrations
1709,2026,2026,E12000008,South East,week-6,Week 6,all,All,all-ages,All ages,occurrences,Occurrences
538,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,all-ages,All ages,occurrences,Occurrences
663,2026,2026,E12000009,South West,week-6,Week 6,female,Female,all-ages,All ages,occurrences,Occurrences
4,2026,2026,E12000007,London,week-6,Week 6,all,All,0-1,0-1,occurrences,Occurrences
2,2026,2026,E12000008,South East,week-6,Week 6,all,All,0-1,0-1,occurrences,Occurrences
0,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,1-4,1-4,occurrences,Occurrences
0,2026,2026,E12000007,London,week-6,Week 6,male,Male,5-9,5-9,occurrences,Occurrences
0,2026,2026,E12000001,North East,week-6,Week 6,all,All,10-14,10-14,occurrences,Occurrences
142,2026,2026,E12000007,London,week-6,Week 6,all,All,80-84,80-84,occurrences,Occurrences
213,2026,2026,E12000009,South West,week-6,Week 6,all,All,80-84,80-84,occurrences,Occurrences
67,2026,2026,E12000007,London,week-6,Week 6,female,Female,80-84,80-84,occurrences,Occurrences
905,2026,2026,E92000001,England,week-6,Week 6,male,Male,80-84,80-84,occurrences,Occurrences
271,2026,2026,E12000002,North West,week-6,Week 6,all,All,85-89,85-89,occurrences,Occurrences
114,2026,2026,E12000005,West Midlands,week-6,Week 6,female,Female,85-89,85-89,occurrences,Occurrences
58,2026,2026,E12000001,North East,week-6,Week 6,female,Female,90-94,90-94,occurrences,Occurrences
87,2026,2026,E12000004,East Midlands,week-6,Week 6,female,Female,90-94,90-94,occurrences,Occurrences
65,2026,2026,E12000004,East Midlands,week-6,Week 6,male,Male,90-94,90-94,occurrences,Occurrences
49,2026,2026,E12000007,London,week-6,Week 6,male,Male,90-94,90-94,occurrences,Occurrences
769,2026,2026,E92000001,England,week-6,Week 6,all,All,95-99,95-99,occurrences,Occurrences
81,2026,2026,E12000002,North West,week-6,Week 6,all,All,95-99,95-99,occurrences,Occurrences
2,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,40-44,40-44,occurrences,Occurrences
21,2026,2026,E92000001,England,week-6,Week 6,female,Female,35-39,35-39,occurrences,Occurrences
5,2026,2026,E12000002,North West,week-6,Week 6,female,Female,45-49,45-49,occurrences,Occurrences
2,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,female,Female,35-39,35-39,occurrences,Occurrences
4,2026,2026,E12000009,South West,week-6,Week 6,female,Female,45-49,45-49,occurrences,Occurrences
4,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,35-39,35-39,occurrences,Occurrences
43,2026,2026,E92000001,England,week-6,Week 6,male,Male,40-44,40-44,occurrences,Occurrences
2,2026,2026,E12000004,East Midlands,week-6,Week 6,male,Male,40-44,40-44,occurrences,Occurrences
29,2026,2026,E12000002,North West,week-6,Week 6,all,All,50-54,50-54,occurrences,Occurrences
9,2026,2026,E12000005,West Midlands,week-6,Week 6,male,Male,40-44,40-44,occurrences,Occurrences
15,2026,2026,E12000008,South East,week-6,Week 6,all,All,50-54,50-54,occurrences,Occurrences
4,2026,2026,W92000004,Wales,week-6,Week 6,all,All,45-49,45-49,occurrences,Occurrences
9,2026,2026,E12000002,North West,week-6,Week 6,female,Female,50-54,50-54,occurrences,Occurrences
9,2026,2026,E12000003,Yorkshire and The Humber,week-6,Week 6,all,All,45-49,45-49,occurrences,Occurrences
17,2026,2026,E12000004,East Midlands,week-6,Week 6,all,All,45-49,45-49,occurrences,Occurrences
15,2026,2026,E12000008,South East,week-6,Week 6,all,All,45-49,45-49,occurrences,Occurrences
3,2026,2026,E12000008,South East,week-6,Week 6,female,Female,45-49,45-49,occurrences,Occurrences
13,2026,2026,E12000004,East Midlands,week-6,Week 6,male,Male,45-49,45-49,occurrences,Occurrences
7,2026,2026,E12000004,East Midlands,week-6,Week 6,female,Female,50-54,50-54,occurrences,Occurrences
10,2026,2026,E12000009,South West,week-6,Week 6,male,Male,50-54,50-54,occurrences,Occurrences
12,2026,2026,E12000008,South East,week-6,Week 6,male,Male,45-49,45-49,occurrences,Occurrences
10732,2026,2026,E92000001,England,week-6,Week 6,all,All,all-ages,All ages,occurrences,Occurrences
974,2026,2026,E12000007,London,week-6,Week 6,all,All,all-ages,All ages,occurrences,Occurrences
7,2026,2026,E12000002,North West,week-6,Week 6,all,All,0-1,0-1,occurrences,Occurrences
0,2026,2026,W92000004,Wales,week-6,Week 6,female,Female,0-1,0-1,occurrences,Occurrences
4,2026,2026,E12000005,West Midlands,week-6,Week 6,female,Female,0-1,0-1,occurrences,Occurrences
2,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,0-1,0-1,occurrences,Occurrences
2,2026,2026,E92000001,England,week-6,Week 6,male,Male,1-4,1-4,occurrences,Occurrences
0,2026,2026,W92000004,Wales,week-6,Week 6,male,Male,1-4,1-4,occurrences,Occurrences
6,2026,2026,W92000004,Wales,week-6,Week 6,all,All,40-44,40-44,registrations,Registrations
4,2026,2026,E12000006,East of England,week-6,Week 6,female,Female,40-44,40-44,registrations,Registrations
14,2026,2026,E12000004,East Midlands,week-6,Week 6,all,All,45-49,45-49,registrations,Registrations
8,2026,2026,E12000008,South East,week-6,Week 6,male,Male,45-49,45-49,registrations,Registrations
13,2026,2026,E12000001,North East,week-6,Week 6,all,All,50-54,50-54,registrations,Registrations
29,2026,2026,E12000002,North West,week-6,Week 6,all,All,50-54,50-54,registrations,Registrations
4,2026,2026,E12000004,East Midlands,week-6,Week 6,female,Female,50-54,50-54,registrations,Registrations
